acD,price,sqFtPrice,bedroomD,bathD,carpetArea,coveredArea,floorNo,floors,furnishedD,propTypeD,transactionTypeD,possStatusD,ecd,ctName,locSeoName,prjname,landmark,lmtDName,OwnershipTypeD,tenantsPreference,postDateT,propertyTitle,latitude,longitude,property_age_yrs,price_per_sqft_calc,days_since_posted,furnished_ord
10 to 15 years,1200000,3871.0,1,1,270.0,310.0,1.0,5.0,Semi-Furnished,Apartment,Resale,Ready to Move,2026-08-13,Mumbai,Dadar West,Anandi Apartment,Sainath signal,Dadar West,,Bachelors/Family,2026-08-12 18:14:57+00:00,1BHK Multistorey Apartment for Resale in Anandi Apartment at Dadar West,19.0200667964879,72.8380779661804,12.5,4444.444444444444,8,1
15 to 20 years,2000000,4545.0,1,1,317.0,440.0,0.0,4.0,Unfurnished,Apartment,Resale,Ready to Move,2026-08-13,Mumbai,Virar East,Ganga Sadan,,Virar East,,Bachelors/Family,2026-08-12 16:51:50+00:00,1BHK Multistorey Apartment for Resale in Ganga Sadan at Virar East,19.4652899784439,72.8189990617033,17.5,6309.148264984227,8,0
10 to 15 years,1500000,4110.0,1,1,300.0,365.0,2.0,4.0,Unfurnished,Builder Floor Apartment,Resale,Ready to Move,2026-08-09,Mumbai,Bolinj,,Ram Mandir,Bolinj,Co-operative Society,Bachelors/Family,2026-08-08 23:55:35+00:00,1BHK Builder Floor Apartment for Resale in Bolinj,19.4422975939069,72.7945125078501,12.5,5000.0,12,0
10 to 15 years,1600000,3048.0,1,1,525.0,525.0,4.0,4.0,Unfurnished,Apartment,Resale,Ready to Move,2026-08-01,Mumbai,,,"Located at Shankar Pada, Narangi Road, Virar East.rikshaw stand nea",Shankar Pada,Co-operative Society,Bachelors/Family,2026-08-01 07:13:11+00:00,1BHK Multistorey Apartment for Resale in Shankar Pada,19.205335,72.835366,12.5,3047.6190476190477,20,0
,1800000,3600.0,1,1,,500.0,1.0,3.0,Unfurnished,Builder Floor Apartment,Resale,Ready to Move,2026-06-26,Mumbai,,,,,,Bachelors/Family,2026-06-26 13:07:51+00:00,1BHK Builder Floor Apartment for Resale in ,,,,,55,0
10 to 15 years,1500000,3067.0,1,1,364.0,489.0,3.0,3.0,Unfurnished,Apartment,Resale,Ready to Move,2026-05-25,Mumbai,,,,,Freehold,Bachelors/Family,2026-05-24 21:33:17+00:00,1BHK Multistorey Apartment for Resale in ,,,12.5,4120.879120879121,88,0
5 to 10 years,1650000,7174.0,1,1,230.0,230.0,1.0,4.0,Unfurnished,Apartment,Resale,Ready to Move,2026-04-21,Mumbai,,,,,,Bachelors/Family,2026-04-21 05:24:41+00:00,1BHK Multistorey Apartment for Resale in ,,,7.5,7173.913043478261,122,0
5 to 10 years,1500000,6944.0,1,1,160.0,216.0,,,Furnished,Residential House,Resale,Ready to Move,2026-06-09,Mumbai,,,madh market,,,Bachelors/Family,2026-06-09 10:11:57+00:00,1BHK Residential House for Resale in ,,,7.5,9375.0,73,2
10 to 15 years,1600000,4571.0,1,1,252.0,350.0,0.0,4.0,Semi-Furnished,Apartment,Resale,Ready to Move,2026-08-14,Mumbai,Virar East,Ashtavinayak Apartment,,Virar East,,Bachelors/Family,2026-08-13 19:44:53+00:00,1BHK Multistorey Apartment for Resale in Ashtavinayak Apartment at Virar East,19.4652899784439,72.8189990617033,12.5,6349.206349206349,7,1
10 to 15 years,1600000,3404.0,1,1,338.0,470.0,1.0,4.0,Unfurnished,Apartment,Resale,Ready to Move,2026-08-14,Mumbai,Virar,Landmark,,Virar,,Bachelors/Family,2026-08-13 07:42:38+00:00,1BHK Multistorey Apartment for Resale in Landmark at Virar,19.462194642857,72.8049130698568,12.5,4733.7278106508875,8,0
Less than 5 years,1400000,9333.0,1,1,108.0,150.0,0.0,4.0,Unfurnished,Apartment,Resale,Ready to Move,2026-08-14,Mumbai,,,,,,Bachelors/Family,2026-08-13 16:36:58+00:00,1BHK Multistorey Apartment for Resale in ,,,,12962.962962962964,7,0
,1730000,3145.0,1,1,550.0,550.0,,,Semi-Furnished,Residential House,Resale,,2026-08-08,Mumbai,Sai Wadi Madh,,,Sai Wadi Madh,,Bachelors/Family,2026-08-08 07:09:08+00:00,1BHK Residential House for Resale in Sai Wadi Madh,19.1427361553484,72.792618185964,,3145.4545454545455,13,1
,1600000,3048.0,1,1,,525.0,3.0,4.0,Unfurnished,Apartment,Resale,Ready to Move,2026-05-23,Mumbai,,,,,,Bachelors/Family,2026-05-21 16:29:52+00:00,1BHK Multistorey Apartment for Resale in ,,,,,91,0
10 to 15 years,1200000,7059.0,1,1,,170.0,0.0,1.0,Unfurnished,Residential House,Resale,Ready to Move,2026-04-14,Mumbai,,,,,Freehold,Bachelors/Family,2026-04-13 16:40:17+00:00,1BHK Residential House for Resale in ,,,12.5,,129,0
5 to 10 years,1300000,,1,2,350.0,,3.0,3.0,Unfurnished,Apartment,Resale,Ready to Move,2026-07-01,Mumbai,Virar East,,,Virar East,Co-operative Society,Bachelors/Family,2026-06-30 16:56:26+00:00,1BHK Multistorey Apartment for Resale in Virar East,19.4652899784439,72.8189990617033,7.5,3714.285714285714,51,0
10 to 15 years,2000000,2273.0,1,1,850.0,880.0,1.0,4.0,Unfurnished,Builder Floor Apartment,New Property,Ready to Move,2026-05-24,Mumbai,Nalasopara East,,moregaon naka,Nalasopara East,Co-operative Society,Bachelors/Family,2026-05-24 09:46:40+00:00,1BHK Builder Floor Apartment for New Property in Nalasopara East,19.43138984792,72.8497262547151,12.5,2352.9411764705883,89,0
10 to 15 years,1900000,,1,1,375.0,,3.0,4.0,Unfurnished,Apartment,Resale,Ready to Move,2026-07-03,Mumbai,Nalasopara East,Om Sai Kutir Apartment,Gayatri Mandir,Nalasopara East,Freehold,Bachelors/Family,2026-07-02 17:43:22+00:00,1BHK Multistorey Apartment for Resale in Om Sai Kutir Apartment at Nalasopara East,19.43138984792,72.8497262547151,12.5,5066.666666666667,49,0
,1700000,1700.0,1,1,,1000.0,,,Unfurnished,Residential House,Resale,Ready to Move,2026-06-03,Mumbai,Nala Sopara,,,Nala Sopara,,Bachelors/Family,2026-06-02 18:05:11+00:00,1BHK Residential House for Resale in Nala Sopara,19.4196344986519,72.8081166617887,,,79,0
15 to 20 years,2000000,4545.0,1,1,250.0,440.0,0.0,4.0,Unfurnished,Apartment,Resale,Ready to Move,2026-07-09,Mumbai,Virar East,Ganga Sadan,"Near Virar (east) Talao,Phool Pada Road",Virar East,Power Of Attorney,Bachelors/Family,2026-07-08 21:31:10+00:00,1BHK Multistorey Apartment for Resale in Ganga Sadan at Virar East,19.4652899784439,72.8189990617033,17.5,8000.0,43,0
5 to 10 years,1400000,2828.0,1,2,350.0,495.0,0.0,2.0,Unfurnished,Apartment,Resale,Ready to Move,2026-06-20,Mumbai,,,river and railway station,,Freehold,Bachelors/Family,2026-06-19 21:32:15+00:00,1BHK Multistorey Apartment for Resale in ,,,7.5,4000.0,62,0
